County Name,Unemployment Rate,Median Household Income,Pop. Below Poverty Line,Ratio of Income 80th vs 20th Percentile:,Banking Institutions Per 10000 Pop.,Household Spending <30% of income on housing,High-Speed Internet,Preschool Enrollment,On-time HS Graduation,Associate Degree or Higher,Violent Crime per 100000 Pop.,Youth Not In School Or Working,Primary Care Providers Per 100000 Pop.,Grocery Stores and Supermarkets per 10000 Pop.
"Kent, Rhode Island",5.2,58293,8.7,4.3,3.7,60.9,5,53.9,82,40.7,120.6,11.1,280.1,1.5
"Newport, Rhode Island",4.9,67124,8.3,4.4,4,62.2,4,48.3,84,52.7,187.3,6.9,206.2,2.3
"Providence, Rhode Island",6,46142,17.1,5.6,3.5,56.3,4,43.5,73,34,344.8,12.7,454.5,2.3
"Washington, Rhode Island",5.2,67521,8.9,4.2,3.8,63.7,5,57.1,85,52.3,73.6,5.8,226.8,2.4
"Abbeville, South Carolina",5,33646,21.6,4.8,5.2,76.2,3,None,83,15.1,38.4,16.7,14.9,3
"Aiken, South Carolina",6,41661,18.9,5.2,3.6,72.1,4,40.2,76,31.4,356,19,119.9,1.8
"Allendale, South Carolina",4.1,23636,36,None,4.7,73.4,4,None,87,36.1,96.4,47.9,238,2
"Anderson, South Carolina",5.5,38918,16.8,4.8,4.1,70.3,3,47.8,79,29.1,594,19.5,194.5,1.8
"Bamberg, South Carolina",9.8,29468,27.6,6.2,4.5,67.5,2,71.8,76,29.4,633.7,None,38.9,3.2
"Barnwell, South Carolina",8.9,32976,29.1,5.5,3.2,64.4,2,78.8,71,20.4,813.8,27.4,45.1,3.6
"Beaufort, South Carolina",5.8,53648,12.5,4,4.6,60.7,5,46.7,75,45.8,544.2,15.4,198.8,1.9
"Berkeley, South Carolina",5.7,49072,14.4,4.2,2.3,66.4,4,47.5,74,30.4,435.4,15.9,88.7,1.2
"Calhoun, South Carolina",12.3,38099,18.2,5,4.3,74.7,2,None,51,32.6,None,25.9,43,4.3
"Charleston, South Carolina",5,47541,18.2,5.4,5.3,57.8,4,54.1,75,46.9,476.4,12.9,778.5,2.8
"Cherokee, South Carolina",7.2,32013,23,4.8,2.3,72.1,3,42.4,80,21.6,348.9,20.1,48.4,2.2
"Chester, South Carolina",8.5,30984,24.5,5.3,3.1,69.4,3,42.7,71,20.6,721.8,28.1,58.3,2.5
"Chesterfield, South Carolina",6.2,29252,26.8,5.5,3.5,70,3,48.2,78,19.4,480.1,25.4,56.3,2.6
"Clarendon, South Carolina",8,29400,24.9,5.2,2.9,69.3,3,52.5,81,20.2,588.2,29.4,76,2
"Colleton, South Carolina",7,31106,20.6,4.7,3.7,64.7,4,39.4,76,22.7,697,26.4,108.4,2.9
"Darlington, South Carolina",7.5,33998,24,5.3,3.4,70,3,55.7,93,24.3,820.8,21.2,101.6,2.2
"Dillon, South Carolina",9.1,26973,31.5,4.8,2.6,66.9,2,47,64,14.8,1229.3,34.14,73.6,2.6
"Dorchester, South Carolina",5.5,50410,12.1,4.2,3.2,64.4,5,44.2,77,34.8,473.3,16.5,81.2,1.4
"Edgefield, South Carolina",11.8,41054,19.9,5.6,18.2,69.3,4,None,83,19.9,253.5,22.2,60.6,3.6
"Fairfield, South Carolina",3.7,33808,22.7,5.6,7,77.6,3,None,None,21.7,111.5,29,87.6,1.8
"Florence, South Carolina",6.9,39228,19.8,5,5.3,70.1,4,50.4,81,29.3,521.3,15.7,300.5,2.7
"Georgetown, South Carolina",7.7,37563,21.2,5.2,5.5,62.3,5,46.9,86,31.4,568.4,18.7,196.6,2.8
"Greenville, South Carolina",5.1,45885,15.8,5,5,69.7,4,48.6,72,39.7,572,14.8,324.1,1.9
"Greenwood, South Carolina",6.4,34202,23.1,5.3,4.6,65.9,3,57.1,78,31.4,1351.2,16.32,311.4,2.2
"Hampton, South Carolina",9,32042,25.2,6.2,2.5,68.2,3,59.3,72,18.4,770.6,30.4,53.9,3.9
"Horry, South Carolina",6.9,39716,18.6,4.3,5.1,61.3,5,39,77,32.3,658.1,13.7,163.4,1.8
"Jasper, South Carolina",5.3,34083,23.7,4.1,1.9,60.4,3,32,65,18.8,350.7,24.4,44.9,1.9
"Kershaw, South Carolina",6.2,40964,16.7,4.6,3.2,71.8,3,36.8,79,27.7,492,24.2,169.3,1.1
"Lancaster, South Carolina",6.6,39515,21,4.9,2.7,68,4,40.8,80,27,516.7,19.7,91.9,2.7
"Laurens, South Carolina",7.3,34991,20.6,4.1,2.9,70.7,3,40.7,71,22,721.9,23.3,84.6,1.5
"Lee, South Carolina",8.7,25621,28,4.5,2.7,67,3,47.6,78,15.5,593.2,30.9,21.7,2.2
"Lexington, South Carolina",5,50601,13.2,4.2,3.6,72.9,4,44.9,79,38,374.3,15,174,1.7
"McCormick, South Carolina",8.3,37466,17.2,4.6,3.9,68.3,4,None,90,18.7,52.6,None,130.1,3.6
"Marion, South Carolina",9.9,27284,27.4,5.5,4.7,66.6,3,57.8,71,20.8,893,24.8,81.2,3.7
"Marlboro, South Carolina",9.9,26486,30.7,4.6,2.9,69.1,2,51.8,65,13.6,1164.6,32.19,53.6,2.9
"Newberry, South Carolina",5.6,39048,17.2,4.6,3.2,72.7,2,49.7,74,29,383.1,22.6,93.2,1.1
"Oconee, South Carolina",5.7,38745,19.1,4.6,3.2,71.3,3,49.3,81,29.8,525.4,17,154.8,2.3
"Orangeburg, South Carolina",10,31927,23.7,5.7,3.1,65.5,3,57.6,76,26.6,511.5,20,122.3,2
"Pickens, South Carolina",5.8,39114,18.9,4.7,3.7,69.1,4,46.3,75,32.8,352.2,9.6,126.7,1.3
"Richland, South Carolina",5.8,45264,17.2,4.8,4.1,63,5,50,61,44.7,946.8,10.3,351.9,1.5
"Saluda, South Carolina",2,36049,21.5,4.8,6.5,76.6,3,None,88,31,94.1,None,92.6,5.6
"Spartanburg, South Carolina",6,40172,17.9,4.8,3.3,69.9,3,42,79,31.3,483.7,16,210.1,1.8
"Sumter, South Carolina",7,38719,17.9,4.3,2.8,71.5,4,52.1,82,28.4,927.5,22.3,138.9,2.1
"Union, South Carolina",8.3,30472,20.1,4.7,5,72,3,37.4,79,21,603.1,17.7,67.9,1.8
"Williamsburg, South Carolina",8.8,24195,30.8,5.5,3,66.8,3,58.2,77,19.8,600.1,26.3,30.2,2.1
"York, South Carolina",5.7,50301,13.4,4.8,3.4,69.5,4,49.2,82,38.2,514.9,13.8,133.2,1.7
"Aurora, South Dakota",3.7,43680,6.5,3.5,5.8,80.9,3,None,78,24.1,171.7,None,43.8,1.5
"Beadle, South Dakota",4.8,39496,20.4,4.3,4.5,76.2,3,None,95,16.1,53.2,None,62.7,1.8
"Bennett, South Dakota",6.2,35200,39.3,4.5,2.9,71,3,55.3,None,27.5,221.5,None,0,5.8
"Bon Homme, South Dakota",3.4,38357,14.7,4.9,1.3,72.2,4,None,93,None,185.5,None,13.5,4
"Brookings, South Dakota",3.6,43895,17.8,4.3,5.4,70.5,4,43.5,92,48.9,31,None,75.6,1.2
"Brown, South Dakota",3.1,48109,8.8,3.9,5.2,77.8,4,36.2,86,36.3,202.2,None,220.1,1.6
"Brule, South Dakota",6.7,42386,13.2,3.5,4,61.2,4,None,81,43.7,188,None,192.9,3.3
"Buffalo, South Dakota",6.1,28981,35.6,4.7,2.4,73.4,2,None,None,15.7,188.4,38.1,8,2.4
"Butte, South Dakota",7.8,38687,10.2,4.1,5.1,71.6,3,None,83,18.4,271.2,None,60,3.4
"Campbell, South Dakota",5,33442,None,4.8,5.3,77.4,3,None,76,25.2,113.3,0,76.7,3
"Charles Mix, South Dakota",4.3,37536,23.6,4.6,9.8,79.7,3,61,None,25.9,175.4,18,86.9,4.3
"Clark, South Dakota",5,45916,14.9,3.8,4.8,73.2,3,None,None,23.1,91.2,None,24.2,3.6
"Clay, South Dakota",4.2,35730,24.5,6.2,3.6,72.8,3,None,89,23,77.3,None,56.2,1.6
"Codington, South Dakota",3.7,44192,11.1,3.8,15.9,75,3,None,None,34.1,71.9,None,0,3.2
"Corson, South Dakota",5.3,28904,44.2,5.6,9.5,75.2,3,49.5,None,27.5,9.8,41.4,0,2.4
"Custer, South Dakota",7.3,46869,10.3,4.5,8.6,73.9,3,None,74,21.5,133.9,None,222.2,2
"Davison, South Dakota",3.1,45247,12.2,4.2,8.6,74.8,4,40.6,92,40.2,216.5,None,191.5,1
"Day, South Dakota",5.7,37216,20.8,5.2,12.5,73.7,4,58.6,None,25.9,None,None,53.4,1.8
"Deuel, South Dakota",6.6,48328,4.7,3.2,3.9,82,4,None,78,18.2,241.4,None,68.2,1.5
"Dewey, South Dakota",11.3,28745,33.3,5.6,5.4,75.7,4,51.3,43,22.4,24.8,35.2,35.7,3.6
"Douglas, South Dakota",4.4,46051,12,4.2,6.2,76,4,None,85,37.6,241.7,None,229.8,2.1
"Edmunds, South Dakota",5.6,46642,None,4.1,3.4,66.8,2,None,68,17.7,219.1,None,11.3,1.1
"Fall River, South Dakota",5.7,35256,17.4,6,4.1,77.2,4,None,86,20.4,59.5,None,52.2,1.2
"Faulk, South Dakota",5,38800,None,4,8,70.2,3,None,79,16.2,178,None,53.3,0.9
"Grant, South Dakota",3.9,45767,11.4,3.7,0.6,64.2,5,None,76,41.5,106.1,None,24.8,3.1
"Gregory, South Dakota",4,34369,19.2,4.6,4.9,73.2,3,None,None,20.2,96.7,None,0,2.5
"Haakon, South Dakota",7,44177,None,4.3,7.4,72.4,3,None,86,19,194.6,None,36.9,2.4
"Hamlin, South Dakota",7.5,52007,7.2,3.8,3.4,81.4,3,None,93,15.5,192.7,None,67.9,3.4
"Hand, South Dakota",10.2,44628,12.4,3.8,1.8,60.8,3,None,78,25.3,244,None,15.6,0.8
"Hanson, South Dakota",5.6,52243,15.8,3.4,8.7,81.2,3,None,None,26.3,34.5,None,29.1,4.4
"Harding, South Dakota",8.6,41515,17.6,None,7,76.5,3,None,95,24.2,433.9,None,15.6,1.6
"Hughes, South Dakota",5.5,55541,11.4,4.4,5.4,69.2,2,None,73,19.4,195.5,None,116.1,1.8
"Hutchinson, South Dakota",8.2,39734,13.2,4.7,5.5,62.9,3,None,83,21.6,328.2,None,54.8,3.1
"Hyde, South Dakota",3.1,44753,None,3.7,8.6,80,4,None,None,28.1,None,None,57.1,4.3
"Jackson, South Dakota",6.8,43266,None,3.6,3.3,68.6,3,None,94,14.7,208.3,None,61.4,2.2
"Jerauld, South Dakota",4.7,43609,None,3.7,6.5,71.8,3,None,72,23.1,240.6,None,90.1,2.2
"Jones, South Dakota",4,41940,None,4.7,5.6,75.8,3,None,91,21.3,94.6,None,33.6,2.2
"Kingsbury, South Dakota",5.5,48085,9.2,3.7,5.5,66.9,3,None,83,20,181.9,None,45.7,4.6
"Lake, South Dakota",4,45804,16.3,4.6,5.8,78.5,4,63.6,76,36.3,65.8,None,82.8,0.8
"Lawrence, South Dakota",7.5,40504,14.4,4.5,6.9,70.6,3,None,89,26.8,172.9,None,60.7,2.6
"Lincoln, South Dakota",2.7,69967,4.5,3.3,5.2,78.6,5,49.9,87,52.5,216.3,None,645.5,1.2
"Lyman, South Dakota",5.5,44550,17,4.4,15.5,87.3,3,66.7,None,27.8,None,27.5,25.8,10.3
"McCook, South Dakota",4.3,49330,7.8,3.8,2.3,69.7,3,None,88,21.2,47.8,None,20,1.4
"McPherson, South Dakota",4.3,34857,None,5.2,3.1,75.6,3,None,87,23.1,229,None,54.9,0.8
"Marshall, South Dakota",5.5,43615,18.6,4.7,3.4,71,2,None,78,15.2,None,None,13.6,3.4
"Meade, South Dakota",3.7,46167,11,3.6,4.1,68.6,4,33.1,79,31,75.3,None,60.2,2.3
"Mellette, South Dakota",3.3,32862,36.6,4.9,5.3,80.3,3,None,64,28.5,117.6,None,26.7,2.7
"Miner, South Dakota",2.9,45375,None,4.3,12.8,82.8,4,72.9,None,32.1,27.8,None,0,8.6
"Minnehaha, South Dakota",3.2,48995,10.9,3.7,6.7,72.2,4,37.2,83,40,284.8,8.5,343.9,1.3
"Moody, South Dakota",4,48476,11.9,3.5,3.3,71.6,3,None,94,21.4,167,None,20.8,1.8
"Pennington, South Dakota",3.9,47580,13.5,4,4.4,69.3,4,27.8,80,37.8,493.3,10.2,294.3,2
"Perkins, South Dakota",2.8,35907,14.1,5.4,7.1,81.4,4,None,None,34.7,29.5,None,17.7,7.1
"Potter, South Dakota",7,41705,13.1,4.1,1.4,76.1,3,None,100,11.8,226.6,None,13.8,1.8
"Roberts, South Dakota",5.3,44171,19.6,4.5,8.7,80.6,3,45.1,73,28.8,178.1,20.6,58.2,3.9
"Sanborn, South Dakota",8.6,45288,None,3.9,2.6,65.2,3,None,89,11.1,38.8,None,26,1.3
"Shannon, South Dakota",5.7,24007,53.2,5.9,4.3,67.2,3,None,93,19.9,307.2,39.1,14.3,2.9
"Spink, South Dakota",3.6,45781,13.2,4.4,4.8,75.6,4,None,92,25.8,73.8,None,87.2,1
"Stanley, South Dakota",1.8,51124,None,3.8,9.4,81.5,4,None,None,29.5,238.5,None,25.7,4.3
"Sully, South Dakota",4.8,51035,None,3.7,2.8,73.2,3,None,86,19.9,354.3,None,36.5,1.5
"Todd, South Dakota",8.6,29890,44.6,4.9,1,75.2,2,50.2,49,18.5,None,41.9,40.1,3
"Tripp, South Dakota",4.9,36807,20.6,4.4,5.7,78.4,3,None,90,22.5,515.7,None,61.1,1.3
"Turner, South Dakota",2.5,48602,9.1,3.7,11.7,81.1,3,None,None,29.6,71.5,None,16.6,5
"Union, South Dakota",3.8,59406,4.4,3.7,8.8,79.9,4,56.4,89,42.6,34.3,None,560.7,2
"Walworth, South Dakota",2.8,39149,10.9,4.9,20.1,80.9,3,None,None,25.3,None,None,0,8.1
"Yankton, South Dakota",3.3,49213,13.4,4.6,5.3,77.3,4,51.7,97,34.8,194.1,None,326.5,0.4
"Ziebach, South Dakota",8.5,30615,42.3,7.2,5.5,82.1,3,None,93,20.5,53,30,6.8,0.7
"Anderson, Tennessee",5.4,40828,18.2,4.8,4.8,72.4,4,32.5,93,29.6,381,20.7,209.3,2.1
"Bedford, Tennessee",5.8,38151,20,4.5,1.7,66.5,3,30.7,92,17.4,362.2,21.3,61.1,2
"Benton, Tennessee",4.3,30919,22.1,4.7,2,62.8,4,None,78,22.6,385.9,24.7,76.3,1.2
"Bledsoe, Tennessee",6.9,31303,22.4,4.6,5,61.7,3,None,87,18.6,None,27.4,25,2.5
"Blount, Tennessee",4.8,43048,13.7,4.3,5.4,70.8,4,38.1,92,28.4,334.9,16.4,167.1,1.4
"Bradley, Tennessee",4.9,38454,19.8,4.7,4.6,68.2,4,33.4,90,26.5,631,16.9,130.6,1.7
"Campbell, Tennessee",7.4,29899,23.8,4.9,5,71.7,3,29.6,82,13.6,373.4,24.5,72.1,2.2
"Cannon, Tennessee",2.1,38085,17.8,4.3,7.1,74.7,3,None,88,16.4,312,31.5,71,0
"Carroll, Tennessee",8,32806,20.1,4.9,6.7,71.9,3,40.5,95,19.1,269.8,20.2,91.2,2.1
"Carter, Tennessee",5.9,29804,22.9,4.7,3,71.1,3,28.7,93,21.6,206.3,16.3,66.3,1.7
"Cheatham, Tennessee",4.5,49090,13.8,3.5,2.8,68,4,38.7,92,25.9,312,15.7,65.9,1.8
"Chester, Tennessee",5.1,39195,19.9,5.3,6.4,71.1,4,None,90,30.7,225.4,None,307.6,2
"Claiborne, Tennessee",4.5,31102,22.9,4.8,4.4,69.6,3,None,90,19.3,131.8,11,51.9,1.5
"Clay, Tennessee",2.6,27825,20.6,4.5,14.7,82.5,4,None,None,31,None,None,0,7.4
"Cocke, Tennessee",5.9,28616,26.1,5.1,4.8,69.8,3,None,92,20,217.5,27.4,77,2.2
"Coffee, Tennessee",4.9,35211,20.9,5,4.3,66.8,3,38.7,91,23.6,467,21.4,176.3,1.9
"Crockett, Tennessee",5.4,33758,18.9,4,4.9,68,3,None,77,18,307.5,21.2,30.9,1.8
"Cumberland, Tennessee",7,34808,17.6,4.3,4,72.7,4,39.4,93,23.2,422.5,26.5,149.6,1.6
"Davidson, Tennessee",4.1,44306,18.5,4.6,4.3,62.3,4,44.2,78,41.8,1153.2,13.42,613.2,2
"Decatur, Tennessee",4.9,33938,22.6,5.9,3.3,83.2,3,None,79,24.3,220.8,None,33.2,1.1
"DeKalb, Tennessee",6.4,35083,19,4.6,2.6,67.8,3,None,64,12.6,308.7,30.4,32.8,3.6
"Dickson, Tennessee",10,41482,15.4,4.3,13.5,69.7,3,None,None,25.2,222.5,23,108.4,8.1
"Dyer, Tennessee",4.3,36460,17.8,4.6,4,78,4,None,88,26,59.8,22.8,11.5,2.3
"Fayette, Tennessee",5.8,52995,14,4.5,5.2,70.2,3,59.7,84,27.6,367.2,21.8,113.5,1
"Fentress, Tennessee",5.2,27324,25.7,4.6,5.1,71.7,3,None,88,18.7,131.7,None,111.3,2.8
"Franklin, Tennessee",4.8,40158,15.1,4.2,2.4,74.6,3,65.2,91,24.8,334.6,11.4,123.5,1.7
"Gibson, Tennessee",7.2,35889,18.7,4.4,5.3,69.5,3,43.5,93,21.5,576.7,21.2,68.8,3.2
"Giles, Tennessee",3.9,36031,19.5,4.8,2.8,75.5,3,None,98,17.2,251.9,13,70.6,2.8
"Grainger, Tennessee",4.3,30293,20.4,4.4,7.7,76.3,3,None,90,21.8,281.6,22.1,12.9,1.3
"Greene, Tennessee",6.2,33270,22,4.3,4.5,72.8,3,29.8,95,21,384.7,21.2,131.9,2.3
"Grundy, Tennessee",10.2,25098,29.7,5.1,2.5,66.2,2,None,83,18,362.1,29.6,24.6,1.6
"Hamblen, Tennessee",5.7,37062,19.2,4.8,5.1,69.9,3,27.8,87,21.5,526.3,23.2,161.7,2.2
"Hamilton, Tennessee",5,43713,16.6,5,4.5,67.9,4,45.6,81,34.6,635.9,14.4,381.9,1.6
"Hancock, Tennessee",7.4,22363,30.8,5,4.4,74,2,None,83,18.1,131.3,40.4,51.6,2.4
"Hardeman, Tennessee",5.7,28991,24.6,5,3.2,71.1,2,None,None,15.6,None,38.5,32.4,0
"Hardin, Tennessee",5.1,31470,22.6,4.9,4.7,74.5,3,None,90,33.7,329.6,20.8,80.9,1.3
"Hawkins, Tennessee",5.8,34966,16.2,4.2,3.9,76.5,3,40.7,95,18.9,255.7,21.9,42.2,1.6
"Haywood, Tennessee",5.3,32331,21.1,4.2,5.7,78.9,3,None,89,23.6,117,25.2,6.3,1.9
"Henderson, Tennessee",7.8,35830,18.8,4.7,8.2,72.9,3,46.5,94,18.6,616,26.6,35.7,1.4
"Henry, Tennessee",5.3,34585,19.2,4.7,2.1,74.1,4,None,None,14.3,239,27.5,20.8,1.4
"Hickman, Tennessee",5.4,37048,17.4,4.7,2.1,69,2,51.9,91,16.8,210.2,23,24.8,0.8
"Houston, Tennessee",4,33014,23.5,4.4,3.8,82.9,3,None,91,24,55.2,24.5,57.5,1
"Humphreys, Tennessee",5.3,40104,13.9,4.4,2.2,75.9,3,None,83,17.5,320.1,17,44.9,4.1
"Jackson, Tennessee",7.9,31249,22.1,4.5,1.7,67.4,3,64.4,93,14.8,238.2,38.6,34.6,1.7
"Jefferson, Tennessee",7.6,37201,18.3,4.4,7,62.1,2,None,None,17.9,23.6,15.1,0,7
"Johnson, Tennessee",1.9,27714,26.4,4.9,8.3,78.4,3,None,None,24,53.2,26.2,0,8.3
"Knox, Tennessee",4.3,44642,14.6,4.7,5.9,68.4,4,41.2,90,43.1,541.7,12.3,409.1,1.8
"Lake, Tennessee",7.4,25380,31.7,4.9,3.9,65.9,3,70.3,83,9.7,305.4,56.3,26,2.6
"Lauderdale, Tennessee",8.3,30257,26,4.8,4,66.1,3,48.4,93,14.5,651.1,34.4,21.8,1.8
"Lawrence, Tennessee",6.1,34977,18.1,4.3,3.6,73,3,33.7,96,17.1,493,17.9,69.1,2.1
"Lewis, Tennessee",6.4,32196,19.9,4.5,2,70.1,3,None,73,16.2,277.3,None,59.7,0
"Lincoln, Tennessee",4.4,38911,16.3,4.2,3.6,73.1,2,54,93,21.4,445.7,14.8,71.4,1.5
"Loudon, Tennessee",5.2,47805,16.1,4.5,5.4,73.3,4,40,91,32.3,279.9,20.6,93.2,2
"McMinn, Tennessee",6,36888,18.3,4.4,5.5,71.2,3,43.3,92,21.7,531.2,20.6,97.4,1
"McNairy, Tennessee",7.7,31311,22.6,4.9,3.4,70.9,3,40.7,93,15.8,399,15.9,68.8,2.3
"Macon, Tennessee",3,33046,21.2,4.6,7.7,84.7,4,None,None,27.8,299.5,None,128.1,2.6
"Madison, Tennessee",5.5,38954,20,5.2,5.6,63.1,4,44.7,95,30.3,887.6,13.9,452.7,1.5
"Marion, Tennessee",4.3,38627,18.2,4.9,3.4,75.9,3,None,89,19,372.7,21.5,98,1.3
"Marshall, Tennessee",2.1,39584,16.2,4.3,13.8,75.9,3,None,None,35,208.4,17.8,86.5,5.2
"Maury, Tennessee",4.8,42435,15.4,4.3,3.8,66.8,4,31.2,87,25,575.1,14.8,227.3,1.8
"Meigs, Tennessee",2.5,32900,20.7,5.4,21.8,87.5,4,None,None,31.6,None,None,93.4,9.3
"Monroe, Tennessee",2.8,35189,19.6,4.5,0,83.8,4,None,None,31.4,None,23.6,0,0
"Montgomery, Tennessee",5.3,46442,16.4,4,3.8,67.3,3,33.4,95,32,549.5,16.2,111,0.9
"Moore, Tennessee",5.4,43215,13.2,3.5,2.8,69.6,2,None,78,18.3,82.1,None,28.1,2.8
"Morgan, Tennessee",10,35223,20.8,4.7,2.9,77.7,4,None,76,13.9,273,35.1,33.2,2.9
"Obion, Tennessee",8.3,36941,17.9,4.5,5.8,70.1,3,42.7,88,18.1,319.9,22.9,106.1,1
"Overton, Tennessee",7.2,32389,22.4,4.3,2.7,76.1,3,46.4,89,16.8,272.8,18.8,108.9,3.2
"Perry, Tennessee",2.8,30743,21.1,4.1,10,75.1,4,None,93,39.4,259.8,None,25,2.5
"Pickett, Tennessee",6.7,32932,19.2,None,1.4,78.3,2,None,93,12.7,43.3,None,28.2,2.8
"Polk, Tennessee",5.5,36573,17.3,4.7,4.6,77.6,3,None,88,15.1,105.5,17.8,50.1,0.8
"Putnam, Tennessee",5.5,31552,26.5,5.8,5.2,63.5,4,49.9,91,27,386.1,13,216.2,2
"Rhea, Tennessee",6.6,34390,22.6,4.4,3.1,71,3,48.4,82,17.1,339.7,22.8,46.1,3.1
"Roane, Tennessee",11.3,39521,15,4.3,4.8,75,3,None,65,34.6,28.6,19.3,61.6,4.1
"Robertson, Tennessee",4.5,49413,13,3.6,3,71.2,3,41.1,95,23.5,436.7,17.1,68.4,1.2
"Rutherford, Tennessee",4.2,51855,13,3.9,3.2,67.8,4,39.7,91,35.6,430.8,11,124.4,1.2
"Scott, Tennessee",3.3,26583,28.3,4.7,4.4,78,5,None,None,24.9,144.8,25.9,43.9,4.4
"Sequatchie, Tennessee",4.7,34102,17.4,5.1,4.6,67.1,3,None,74,19.4,374.4,None,26.8,1.9
"Sevier, Tennessee",5.5,40856,14.5,4.2,8.2,69.2,4,25.7,86,21.7,347.1,16.1,70.4,2.7
"Shelby, Tennessee",6.2,43290,20.8,5.3,3.9,59.2,4,42.8,76,35.2,1235.8,19.81,379.3,1.9
"Smith, Tennessee",7.1,39671,19.4,5.2,3.4,66.7,3,None,82,16.9,315.4,None,101.6,1
"Stewart, Tennessee",4.3,37235,20,5.1,5.7,79.5,3,None,98,26.8,164.9,None,37.7,0.9
"Sullivan, Tennessee",5.3,36952,18.3,4.9,4.7,72.9,4,45.1,92,27.4,530.2,19.2,402.1,1.3
"Sumner, Tennessee",4.3,51957,10.4,3.9,4,68.9,4,47.8,91,31,278,11.1,134.8,1.3
"Tipton, Tennessee",6.7,49068,13.4,4.4,3.6,71.1,3,47.3,95,23,552.8,18.4,56.9,1.6
"Trousdale, Tennessee",4.3,40280,None,None,3.5,69.4,2,None,85,24.3,117.5,None,26.5,1.2
"Unicoi, Tennessee",6.5,30225,21.7,4.7,5.4,92.4,4,None,None,28.6,17.9,32.9,0,0
"Union, Tennessee",3.9,32198,23.6,4.8,11.8,73.3,3,None,None,25.4,None,17.5,70.9,4.7
"Van Buren, Tennessee",8.6,31400,22.5,3.9,4.2,74.6,2,None,None,18.2,220,None,10.5,3.1
"Warren, Tennessee",5.4,32424,21.5,4.5,4.8,72.9,3,39.9,92,17.2,335,21.9,65.2,1.8
"Washington, Tennessee",5.1,39382,18.3,5.1,6.4,69.1,4,42.7,93,34.9,414.8,9.6,661.8,1.4
"Wayne, Tennessee",6.3,31073,20.2,4.9,3.2,67.8,4,None,63,24.3,82.3,25.6,73.3,3.7
"Weakley, Tennessee",6.4,33016,20.9,5.5,4.4,72.4,3,31.4,92,24.4,319,10.3,98.8,1.7
"White, Tennessee",7.3,32268,19.9,4.3,5.5,71.8,2,None,93,13.6,249.5,25.4,24.6,3.1
"Williamson, Tennessee",3.7,84033,5.7,4.1,6,72.2,5,60.6,92,59,123.6,9.3,585.5,1.6
"Wilson, Tennessee",4.3,56525,10.2,4,4.3,70,4,45.2,96,33.9,388.6,12.5,120.5,1.5
"Anderson, Texas",3.8,38051,20.3,5.1,2.8,72,4,40.4,92,17.1,302.3,28.5,81.1,0.9
"Andrews, Texas",5.9,54124,12.5,5.4,2.4,65.3,4,None,80,23.2,151.9,16.5,97.9,2.8
"Angelina, Texas",5.3,38707,19.3,4.4,3.9,72.2,5,54.4,90,22,348,22,154.1,1
"Aransas, Texas",4.4,39758,19.6,5.1,3.3,69.8,3,65,88,26.9,201.3,None,28.9,1.7
"Archer, Texas",4.2,52839,11.3,4,2.3,77.2,3,55.6,None,26.4,121,None,57.1,1.1
"Armstrong, Texas",13.9,57691,None,4.1,4.3,78.1,3,None,72,8.6,355.6,None,52.7,3.4
"Atascosa, Texas",4.2,44500,16.4,4.9,2.8,74.5,2,52.7,93,18.9,171.5,18.8,44.6,1.7
"Austin, Texas",3.8,49856,10.1,4.6,3.8,72.9,3,46.3,95,26.2,202.3,13.5,45.1,1.7
"Bailey, Texas",3.6,43186,None,None,4.3,62,5,None,88,39.2,212.8,None,217.6,2
"Bandera, Texas",3.6,46065,15.3,4.3,2.4,73.1,3,68,93,30.2,90,None,43.7,1
"Bastrop, Texas",3.4,48438,16.5,4.3,3.2,69.1,3,28.9,89,23.6,368.8,17.1,44.7,1.4
"Baylor, Texas",2.3,31305,None,4.5,12.9,82.3,4,None,None,32.5,25.8,None,0,10.3
"Bee, Texas",5.4,40894,22.2,4.5,2.4,74.8,3,33.6,87,15,219.7,33,45.8,0.3
"Bell, Texas",4.3,46856,15.3,4.1,2.4,67.5,4,42.7,88,31.8,413.7,13.9,359.4,0.9
"Bexar, Texas",3.4,46905,17.6,4.7,2.7,66.6,4,43.9,86,33.6,476.9,14.8,317.5,1
"Blanco, Texas",2.9,46320,9.3,4.3,4.7,72.7,2,72.2,96,31.2,175.1,None,75.2,2.8
"Borden, Texas",6.7,67024,None,None,4.3,72.7,4,None,89,21.8,300,None,79.4,2.9
"Bosque, Texas",3.7,41879,14.7,4.4,6.6,70.1,4,None,None,33.1,92.7,None,32.9,4.9
"Bowie, Texas",4.4,39636,19.7,5,7.3,70.5,4,45.8,94,25.1,677.7,23.6,249.4,1.7
"Brazoria, Texas",4,63277,11.2,4.3,3.1,73.2,4,43.9,91,35.6,170.3,16.1,225.6,0.8
"Brazos, Texas",3,35858,29.8,7.2,3.5,55.2,4,44.1,87,43.9,387.1,4.8,241.9,0.9
"Brewster, Texas",3.7,37887,12.4,4.8,4.3,79.4,4,66.9,95,40.7,124.2,None,118.4,5.4
"Briscoe, Texas",5.4,33930,18.6,4.3,10.2,81,4,None,None,24.9,48.4,None,16.9,6.8
"Brooks, Texas",3.9,20466,38.3,6.9,4.2,70.9,4,None,94,20.8,121.6,None,72.6,2.6
